Outlet_ID,Trade_Spend_Allocation_LKR
OUT_00001,700.0
OUT_00002,2400.0
OUT_00003,400.0
OUT_00004,2500.0
OUT_00005,400.0
OUT_00006,2600.0
OUT_00007,500.0
OUT_00008,800.0
OUT_00009,2000.0
OUT_00010,400.0
OUT_00011,1500.0
OUT_00012,600.0
OUT_00013,600.0
OUT_00014,500.0
OUT_00015,2600.0
OUT_00016,2100.0
OUT_00017,500.0
OUT_00018,2400.0
OUT_00019,900.0
OUT_00020,600.0
OUT_00021,700.0
OUT_00022,2400.0
OUT_00023,800.0
OUT_00024,400.0
OUT_00025,700.0
OUT_00026,700.0
OUT_00027,800.0
OUT_00028,800.0
OUT_00029,500.0
OUT_00030,900.0
OUT_00031,400.0
OUT_00032,2100.0
OUT_00033,700.0
OUT_00034,600.0
OUT_00035,700.0
OUT_00036,600.0
OUT_00037,2100.0
OUT_00038,500.0
OUT_00039,600.0
OUT_00040,700.0
OUT_00041,500.0
OUT_00042,700.0
OUT_00043,500.0
OUT_00044,600.0
OUT_00045,200.0
OUT_00046,500.0
OUT_00047,400.0
OUT_00048,500.0
OUT_00049,600.0
OUT_00050,400.0
OUT_00051,600.0
OUT_00052,400.0
OUT_00053,400.0
OUT_00054,2200.0
OUT_00055,400.0
OUT_00056,1800.0
OUT_00057,400.0
OUT_00058,2400.0
OUT_00059,800.0
OUT_00060,500.0
OUT_00061,500.0
OUT_00062,500.0
OUT_00063,500.0
OUT_00064,800.0
OUT_00065,400.0
OUT_00066,2700.0
OUT_00067,800.0
OUT_00068,500.0
OUT_00069,800.0
OUT_00070,600.0
OUT_00071,500.0
OUT_00072,500.0
OUT_00073,800.0
OUT_00074,600.0
OUT_00075,700.0
OUT_00076,800.0
OUT_00077,600.0
OUT_00078,2600.0
OUT_00079,600.0
OUT_00080,2700.0
OUT_00081,3400.0
OUT_00082,600.0
OUT_00083,500.0
OUT_00084,2400.0
OUT_00085,500.0
OUT_00086,500.0
OUT_00087,600.0
OUT_00088,600.0
OUT_00089,400.0
OUT_00090,1900.0
OUT_00091,2900.0
OUT_00092,600.0
OUT_00093,300.0
OUT_00094,800.0
OUT_00095,400.0
OUT_00096,600.0
OUT_00097,400.0
OUT_00098,500.0
OUT_00099,300.0
OUT_00100,1100.0
OUT_00101,500.0
OUT_00102,600.0
OUT_00103,2300.0
OUT_00104,500.0
OUT_00105,400.0
OUT_00106,2100.0
OUT_00107,300.0
OUT_00108,400.0
OUT_00109,400.0
OUT_00110,500.0
OUT_00111,2200.0
OUT_00112,600.0
OUT_00113,500.0
OUT_00114,1000.0
OUT_00115,500.0
OUT_00116,600.0
OUT_00117,500.0
OUT_00118,500.0
OUT_00119,600.0
OUT_00120,700.0
OUT_00121,600.0
OUT_00122,400.0
OUT_00123,400.0
OUT_00124,500.0
OUT_00125,700.0
OUT_00126,2400.0
OUT_00127,900.0
OUT_00128,600.0
OUT_00129,500.0
OUT_00130,400.0
OUT_00131,700.0
OUT_00132,600.0
OUT_00133,2300.0
OUT_00134,600.0
OUT_00135,2200.0
OUT_00136,500.0
OUT_00137,1900.0
OUT_00138,400.0
OUT_00139,2700.0
OUT_00140,1400.0
OUT_00141,3000.0
OUT_00142,500.0
OUT_00143,300.0
OUT_00144,1900.0
OUT_00145,400.0
OUT_00146,2300.0
OUT_00147,800.0
OUT_00148,2500.0
OUT_00149,400.0
OUT_00150,400.0
OUT_00151,500.0
OUT_00152,300.0
OUT_00153,800.0
OUT_00154,500.0
OUT_00155,600.0
OUT_00156,800.0
OUT_00157,500.0
OUT_00158,1800.0
OUT_00159,3200.0
OUT_00160,800.0
OUT_00161,700.0
OUT_00162,400.0
OUT_00163,1800.0
OUT_00164,600.0
OUT_00165,500.0
OUT_00166,3300.0
OUT_00167,3200.0
OUT_00168,600.0
OUT_00169,600.0
OUT_00170,500.0
OUT_00171,200.0
OUT_00172,600.0
OUT_00173,2700.0
OUT_00174,700.0
OUT_00175,600.0
OUT_00176,600.0
OUT_00177,400.0
OUT_00178,700.0
OUT_00179,400.0
OUT_00180,600.0
OUT_00181,400.0
OUT_00182,700.0
OUT_00183,800.0
OUT_00184,800.0
OUT_00185,3000.0
OUT_00186,500.0
OUT_00187,600.0
OUT_00188,400.0
OUT_00189,600.0
OUT_00190,500.0
OUT_00191,500.0
OUT_00192,400.0
OUT_00193,400.0
OUT_00194,600.0
OUT_00195,400.0
OUT_00196,400.0
OUT_00197,2100.0
OUT_00198,2400.0
OUT_00199,2200.0
OUT_00200,400.0
OUT_00201,2000.0
OUT_00202,400.0
OUT_00203,2500.0
OUT_00204,200.0
OUT_00205,500.0
OUT_00206,700.0
OUT_00207,600.0
OUT_00208,300.0
OUT_00209,700.0
OUT_00210,500.0
OUT_00211,500.0
OUT_00212,400.0
OUT_00213,700.0
OUT_00214,500.0
OUT_00215,500.0
OUT_00216,400.0
OUT_00217,500.0
OUT_00218,2100.0
OUT_00219,500.0
OUT_00220,400.0
OUT_00221,400.0
OUT_00222,700.0
OUT_00223,200.0
OUT_00224,3000.0
OUT_00225,800.0
OUT_00226,700.0
OUT_00227,800.0
OUT_00228,2600.0
OUT_00229,1800.0
OUT_00230,2300.0
OUT_00231,600.0
OUT_00232,700.0
OUT_00233,2100.0
OUT_00234,500.0
OUT_00235,500.0
OUT_00236,1700.0
OUT_00237,300.0
OUT_00238,2700.0
OUT_00239,200.0
OUT_00240,400.0
OUT_00241,900.0
OUT_00242,900.0
OUT_00243,700.0
OUT_00244,600.0
OUT_00245,3200.0
OUT_00246,600.0
OUT_00247,700.0
OUT_00248,300.0
OUT_00249,500.0
OUT_00250,500.0
OUT_00251,600.0
OUT_00252,500.0
OUT_00253,600.0
OUT_00254,600.0
OUT_00255,3200.0
OUT_00256,700.0
OUT_00257,400.0
OUT_00258,500.0
OUT_00259,500.0
OUT_00260,700.0
OUT_00261,500.0
OUT_00262,500.0
OUT_00263,600.0
OUT_00264,500.0
OUT_00265,800.0
OUT_00266,700.0
OUT_00267,400.0
OUT_00268,600.0
OUT_00269,200.0
OUT_00270,900.0
OUT_00271,1700.0
OUT_00272,400.0
OUT_00273,900.0
OUT_00274,300.0
OUT_00275,600.0
OUT_00276,500.0
OUT_00277,400.0
OUT_00278,500.0
OUT_00279,2700.0
OUT_00280,400.0
OUT_00281,2100.0
OUT_00282,1200.0
OUT_00283,500.0
OUT_00284,600.0
OUT_00285,700.0
OUT_00286,500.0
OUT_00287,700.0
OUT_00288,2200.0
OUT_00289,1600.0
OUT_00290,500.0
OUT_00291,500.0
OUT_00292,400.0
OUT_00293,2400.0
OUT_00294,500.0
OUT_00295,800.0
OUT_00296,700.0
OUT_00297,3000.0
OUT_00298,900.0
OUT_00299,700.0
OUT_00300,600.0
OUT_00301,500.0
OUT_00302,600.0
OUT_00303,500.0
OUT_00304,1700.0
OUT_00305,2600.0
OUT_00306,500.0
OUT_00307,600.0
OUT_00308,700.0
OUT_00309,500.0
OUT_00310,400.0
OUT_00311,300.0
OUT_00312,700.0
OUT_00313,900.0
OUT_00314,2500.0
OUT_00315,600.0
OUT_00316,400.0
OUT_00317,500.0
OUT_00318,800.0
OUT_00319,500.0
OUT_00320,500.0
OUT_00321,400.0
OUT_00322,600.0
OUT_00323,400.0
OUT_00324,300.0
OUT_00325,700.0
OUT_00326,400.0
OUT_00327,700.0
OUT_00328,500.0
OUT_00329,500.0
OUT_00330,700.0
OUT_00331,400.0
OUT_00332,500.0
OUT_00333,500.0
OUT_00334,300.0
OUT_00335,700.0
OUT_00336,600.0
OUT_00337,800.0
OUT_00338,300.0
OUT_00339,300.0
OUT_00340,600.0
OUT_00341,300.0
OUT_00342,1000.0
OUT_00343,1100.0
OUT_00344,400.0
OUT_00345,800.0
OUT_00346,400.0
OUT_00347,300.0
OUT_00348,8400.0
OUT_00349,500.0
OUT_00350,700.0
OUT_00351,2100.0
OUT_00352,600.0
OUT_00353,400.0
OUT_00354,700.0
OUT_00355,600.0
OUT_00356,2100.0
OUT_00357,600.0
OUT_00358,300.0
OUT_00359,600.0
OUT_00360,300.0
OUT_00361,500.0
OUT_00362,400.0
OUT_00363,2200.0
OUT_00364,400.0
OUT_00365,700.0
OUT_00366,1800.0
OUT_00367,400.0
OUT_00368,3000.0
OUT_00369,600.0
OUT_00370,600.0
OUT_00371,400.0
OUT_00372,600.0
OUT_00373,600.0
OUT_00374,500.0
OUT_00375,700.0
OUT_00376,500.0
OUT_00377,500.0
OUT_00378,700.0
OUT_00379,500.0
OUT_00380,800.0
OUT_00381,600.0
OUT_00382,400.0
OUT_00383,3700.0
OUT_00384,400.0
OUT_00385,600.0
OUT_00386,400.0
OUT_00387,800.0
OUT_00388,600.0
OUT_00389,700.0
OUT_00390,500.0
OUT_00391,300.0
OUT_00392,600.0
OUT_00393,700.0
OUT_00394,400.0
OUT_00395,400.0
OUT_00396,700.0
OUT_00397,500.0
OUT_00398,800.0
OUT_00399,500.0
OUT_00400,300.0
OUT_00401,200.0
OUT_00402,400.0
OUT_00403,300.0
OUT_00404,200.0
OUT_00405,300.0
OUT_00406,100.0
OUT_00407,300.0
OUT_00408,300.0
OUT_00409,400.0
OUT_00410,300.0
OUT_00411,200.0
OUT_00412,200.0
OUT_00413,1100.0
OUT_00414,400.0
OUT_00415,200.0
OUT_00416,400.0
OUT_00417,2000.0
OUT_00418,300.0
OUT_00419,200.0
OUT_00420,100.0
OUT_00421,300.0
OUT_00422,0.0
OUT_00423,1800.0
OUT_00424,2200.0
OUT_00425,200.0
OUT_00426,400.0
OUT_00427,400.0
OUT_00428,4600.0
OUT_00429,300.0
OUT_00430,200.0
OUT_00431,100.0
OUT_00432,5400.0
OUT_00433,300.0
OUT_00434,4900.0
OUT_00435,300.0
OUT_00436,300.0
OUT_00437,300.0
OUT_00438,400.0
OUT_00439,200.0
OUT_00440,200.0
OUT_00441,400.0
OUT_00442,0.0
OUT_00443,400.0
OUT_00444,100.0
OUT_00445,2200.0
OUT_00446,300.0
OUT_00447,100.0
OUT_00448,200.0
OUT_00449,5300.0
OUT_00450,400.0
OUT_00451,100.0
OUT_00452,200.0
OUT_00453,400.0
OUT_00454,200.0
OUT_00455,4400.0
OUT_00456,200.0
OUT_00457,600.0
OUT_00458,200.0
OUT_00459,300.0
OUT_00460,200.0
OUT_00461,200.0
OUT_00462,400.0
OUT_00463,800.0
OUT_00464,400.0
OUT_00465,200.0
OUT_00466,400.0
OUT_00467,100.0
OUT_00468,800.0
OUT_00469,200.0
OUT_00470,200.0
OUT_00471,500.0
OUT_00472,500.0
OUT_00473,100.0
OUT_00474,100.0
OUT_00475,400.0
OUT_00476,300.0
OUT_00477,300.0
OUT_00478,200.0
OUT_00479,300.0
OUT_00480,300.0
OUT_00481,300.0
OUT_00482,300.0
OUT_00483,100.0
OUT_00484,100.0
OUT_00485,300.0
OUT_00486,200.0
OUT_00487,200.0
OUT_00488,400.0
OUT_00489,200.0
OUT_00490,0.0
OUT_00491,200.0
OUT_00492,600.0
OUT_00493,500.0
OUT_00494,0.0
OUT_00495,400.0
OUT_00496,200.0
OUT_00497,200.0
OUT_00498,300.0
OUT_00499,300.0
OUT_00500,300.0
OUT_00501,300.0
OUT_00502,300.0
OUT_00503,700.0
OUT_00504,200.0
OUT_00505,200.0
OUT_00506,4200.0
OUT_00507,4400.0
OUT_00508,400.0
OUT_00509,300.0
OUT_00510,200.0
OUT_00511,300.0
OUT_00512,100.0
OUT_00513,200.0
OUT_00514,300.0
OUT_00515,400.0
OUT_00516,100.0
OUT_00517,400.0
OUT_00518,400.0
OUT_00519,200.0
OUT_00520,200.0
OUT_00521,100.0
OUT_00522,100.0
OUT_00523,400.0
OUT_00524,200.0
OUT_00525,700.0
OUT_00526,200.0
OUT_00527,400.0
OUT_00528,500.0
OUT_00529,400.0
OUT_00530,600.0
OUT_00531,100.0
OUT_00532,100.0
OUT_00533,200.0
OUT_00534,700.0
OUT_00535,300.0
OUT_00536,200.0
OUT_00537,300.0
OUT_00538,300.0
OUT_00539,600.0
OUT_00540,100.0
OUT_00541,300.0
OUT_00542,300.0
OUT_00543,100.0
OUT_00544,100.0
OUT_00545,300.0
OUT_00546,400.0
OUT_00547,100.0
OUT_00548,100.0
OUT_00549,400.0
OUT_00550,400.0
OUT_00551,500.0
OUT_00552,100.0
OUT_00553,500.0
OUT_00554,300.0
OUT_00555,300.0
OUT_00556,200.0
OUT_00557,200.0
OUT_00558,300.0
OUT_00559,200.0
OUT_00560,400.0
OUT_00561,400.0
OUT_00562,300.0
OUT_00563,100.0
OUT_00564,200.0
OUT_00565,300.0
OUT_00566,300.0
OUT_00567,600.0
OUT_00568,4500.0
OUT_00569,200.0
OUT_00570,400.0
OUT_00571,200.0
OUT_00572,300.0
OUT_00573,1900.0
OUT_00574,200.0
OUT_00575,200.0
OUT_00576,200.0
OUT_00577,600.0
OUT_00578,100.0
OUT_00579,3600.0
OUT_00580,600.0
OUT_00581,300.0
OUT_00582,200.0
OUT_00583,200.0
OUT_00584,300.0
OUT_00585,200.0
OUT_00586,400.0
OUT_00587,400.0
OUT_00588,200.0
OUT_00589,400.0
OUT_00590,300.0
OUT_00591,700.0
OUT_00592,200.0
OUT_00593,100.0
