Outlet_ID,ai_explanation
OUT_18128,Explanation unavailable
OUT_19434,Explanation unavailable
OUT_17153,Explanation unavailable
OUT_18682,Explanation unavailable
OUT_17843,Explanation unavailable
OUT_19646,Explanation unavailable
OUT_17425,Explanation unavailable
OUT_19648,Explanation unavailable
OUT_19588,Explanation unavailable
OUT_17175,Explanation unavailable
OUT_19258,Explanation unavailable
OUT_18738,Explanation unavailable
OUT_19637,Explanation unavailable
OUT_18125,Explanation unavailable
OUT_18501,Explanation unavailable
OUT_18511,Explanation unavailable
OUT_18805,Explanation unavailable
OUT_18023,Explanation unavailable
OUT_17598,Explanation unavailable
OUT_17754,Explanation unavailable
